campaign_id,campaign_name,channel,campaign_objective,start_date,end_date,spend,impressions,clicks,target_audience,country,device_type,conversions,revenue_attributed,roi,roas,ctr,cpc,cpa,conversion_rate,revenue_per_click,campaign_profit,budget_efficiency_score
CMP-118,Email | Summer Sale | 118,Email,Retention and lifecycle marketing,2025-03-30,2025-05-18,4412.37,734980,36749,Discount-sensitive customers,Italy,Mobile,1997,173636.57,38.35222340828172,39.352223408281716,0.05,0.12006775694576723,2.20949924887331,0.05434161473781599,4.724933195461102,169224.2,100.0
CMP-083,Email | Summer Sale | 083,Email,Retention and lifecycle marketing,2025-01-25,2025-03-03,4703.0,939980,46999,Premium shoppers,Germany,Mobile,1746,153630.2,31.666425685732513,32.66642568573251,0.05,0.1000659588501883,2.693585337915235,0.03714972658992745,3.268797208451244,148927.2,86.4
CMP-108,Email | Holiday Drop | 108,Email,Retention and lifecycle marketing,2024-02-18,2024-05-11,6874.72,1181100,59055,Discount-sensitive customers,France,Mobile,1855,163158.08,22.733050946074894,23.733050946074894,0.05,0.11641215815764966,3.7060485175202156,0.03141139615612565,2.762815680298027,156283.36,68.1
CMP-037,Organic Search | Sneaker Week | 037,Organic Search,SEO-led acquisition,2024-12-13,2025-01-25,3839.7,399080,19954,VIP customers,Spain,Mobile,836,73876.48,18.240169804932677,19.240169804932677,0.05,0.1924275834419164,4.592942583732057,0.04189636163175303,3.702339380575323,70036.78,58.9
CMP-098,Email | Premium Basics | 098,Email,Retention and lifecycle marketing,2025-06-09,2025-08-19,7679.27,1250380,62519,Discount-sensitive customers,UK,Mobile,1640,147110.06,18.156776620694416,19.156776620694412,0.05,0.1228309793822678,4.6824817073170735,0.026232025464258867,2.3530456341272252,139430.79,58.8
CMP-047,Organic Search | Premium Basics | 047,Organic Search,SEO-led acquisition,2024-12-20,2025-03-05,7909.47,829740,41487,Returning customers,France,Desktop,1611,144503.95,17.269738680341415,18.269738680341415,0.05,0.19064936004049463,4.909664804469274,0.03883144117434377,3.4831139875141615,136594.48,56.9
CMP-053,Organic Search | Spring Edit | 053,Organic Search,SEO-led acquisition,2024-06-09,2024-07-22,9617.75,954300,47715,Returning customers,UK,Mobile,1784,159197.65,15.552483689012503,16.5524836890125,0.05,0.20156659331447135,5.391115470852018,0.037388661846379546,3.3364277480876035,149579.9,53.4
CMP-022,Email | Beauty Boost | 022,Email,Retention and lifecycle marketing,2025-09-20,2025-12-10,4513.45,543800,27190,Young fashion buyers,Germany,Mobile,714,61223.73,12.56472986296514,13.56472986296514,0.05,0.16599668995954395,6.321358543417366,0.02625965428466348,2.2517002574475913,56710.280000000006,47.3
CMP-041,Organic Search | Premium Basics | 041,Organic Search,SEO-led acquisition,2024-01-29,2024-04-20,4913.22,504200,25210,New shoppers,Netherlands,Mobile,772,64744.72,12.177655386894948,13.177655386894948,0.05,0.19489170963903213,6.364274611398964,0.030622768742562475,2.568215787385958,59831.5,46.5
CMP-007,Email | VIP Retention | 007,Email,Retention and lifecycle marketing,2025-03-07,2025-04-07,1954.84,414500,20725,Discount-sensitive customers,UK,Mobile,287,24855.0,11.714595567923718,12.714595567923718,0.05,0.09432279855247286,6.811289198606271,0.013848009650180942,1.1992762364294332,22900.16,45.6
CMP-034,Email | Holiday Drop | 034,Email,Retention and lifecycle marketing,2024-02-02,2024-02-29,5698.01,1076000,53800,VIP customers,France,Desktop,658,57408.19,9.075129738277047,10.075129738277047,0.05,0.10591096654275094,8.659589665653495,0.012230483271375464,1.0670667286245354,51710.18,40.1
CMP-085,Email | Sneaker Week | 085,Email,Retention and lifecycle marketing,2024-04-10,2024-05-08,5727.09,808680,40434,Premium shoppers,Germany,Desktop,625,57154.84,8.979734909002651,9.979734909002651,0.05,0.14164045110550527,9.163344,0.015457288420636098,1.4135341544244941,51427.75,39.9
CMP-017,Organic Search | Holiday Drop | 017,Organic Search,SEO-led acquisition,2024-01-12,2024-03-20,3535.58,396300,19815,Returning customers,Spain,Desktop,376,35275.59,8.977313481804964,9.977313481804964,0.05,0.17842947262175118,9.40313829787234,0.018975523593237446,1.780246782740348,31740.009999999995,39.9
CMP-044,Email | Premium Basics | 044,Email,Retention and lifecycle marketing,2024-03-19,2024-06-02,6296.28,846960,42348,Discount-sensitive customers,Netherlands,Mobile,685,61692.04,8.798172889388656,9.798172889388656,0.05,0.14867951260980447,9.191649635036496,0.016175498252573913,1.456787569660905,55395.76,39.6
CMP-067,Email | Sneaker Week | 067,Email,Retention and lifecycle marketing,2025-07-25,2025-10-22,4594.31,1125200,56260,New shoppers,France,Desktop,489,43225.06,8.408389943212365,9.408389943212363,0.05,0.08166210451475293,9.395316973415134,0.008691788126555279,0.7683089228581585,38630.75,38.8
